CROPPED AREA FOR MAJOR CROPS IN THE WESTERN REGION - 2011 (Figures in Hectares),,,,,,,,,,,,,
DISTRICTS,MAIZE,RICE,CASSAVA,YAM,COCOYAM,PLANTAIN,,,,,,,
PRODUCTION OF MAJOR CROPS IN THE GREATER ACCRA REGION - 2011 (Figures in Metric Tons),,,,,,,,,,,,,
District,Maize,Rice,Cassava,Tomato,Pepper,Garden Eggs,Okro,Lettuce,Onion,Cucumber,Cabbage,Watermelon,Carrot
Tema,393.35200000000003,50.895,4250,1319.7,946.0000000000001,36,354.99999999999994,0,497,0,0,0,0
Ga East,601.1999999999999,24,8010,1815,3450,94.5,378,0,585,299,7525,7100,0
Ga West,654,498.2,8800,291,1065,350,308,0,440,0,0,0,0
Dangme West,2340,18200,32400,10400,7140,129.5,6525,0,0,0,0,2720,0
Dangme East,382.5,0,18368,50568,1737.5,0,6580.8,0,493.00000000000006,0,0,20140,0
AMA,90.2,0,35,208,276,0,360.5,551.4100000000001,0,380.99999999999994,781,0,121.79999999999998
TOTAL,4461.2519999999995,18773.095,71863,64601.7,14614.5,610,14507.3,551.4100000000001,2015,680,8306,29960,121.79999999999998
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CROPPED AREA FOR MAJOR CROPS IN THE VOLTA REGION - 2011 (Figures in Hectares),,,,,,,,,,,,,
DISTRICT,MAIZE,RICE,CASSAVA,YAM,COCOYAM,PLANTAIN,SORGHUM,SOYBEAN,COWPEA,,,,
North Tongu,1800,2100,2500,,,,,,65,,,,
South Tongu,1693,135,2341,0,0,0,0,0,0,,,,
Akatsi,2810,0,2910,0,0,0,0,0,674.2,,,,
Keta,730,,1290,,,,,,,,,,
Ketu,12173,2342,13179,0,0,0,0,0,0,,,,
North Dayi (Kpando),2806,497,1847,1270.5,101,204,0,0,0,,,,
South Dayi,2124,321,1495,41,122.4,174.4,0,0,0,,,,
Hohoe,7386,7421,9132,1554.5,213.2,643,0,0,0,,,,
Jasikan,3496,2243,6894,1271.5,2101.2,3327.2,0,0,0,,,,
Kadjebi,3309,2199,4650,1093,2233.8,2399,0,0,0,,,,
Nkwanta,6463,2408,32122,9001,855.8,510.2,614,612.2,1234,,,,
Krachi West,2319,1187,11441,5811.5,70.4,122.6,2610.4,2460.2,0,,,,
Krachi East,1682,1220,9661,6368,101,213.2,1179.2,1264.8,0,,,,
Ho,2919,420,4311,840.5,449,285.6,0,0,0,,,,
Adaklu Anyigbe,2213,266,1396,104,20.3,20.2,0,0,0,,,,
TOTAL,53923,22759,105169,27355.5,6268.1,7899.4,4403.6,4337.2,1973.2,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
AVERAGE YIELD FOR MAJOR CROPS IN THE VOLTA REGION - 2011 (Figures in Mt/Ha),,,,,,,,,,,,,
DISTRICT,MAIZE,RICE,CASSAVA,YAM,COCOYAM,PLANTAIN,SORGHUM,SOYBEAN,COWPEA,,,,
North Tongu,1.5,3.5,11.5,,,,,,1.5,,,,
South Tongu,1.6,2.739,13.08,0,0,0,0,0,0,,,,
Akatsi,2,0,14.88,0,0,0,0,0,2.2,,,,
Keta,1.9,,,,,,,,,,,,
Ketu,2.1,5.05,14.5215,0,0,0,0,0,0,,,,
North Dayi (Kpando),1.4594999999999998,2.684,13.248,10.11,6.19,6.07,0,0,0,,,,
South Dayi,1.456,2.01,15.028,11.68,5.07,7.16,0,0,0,,,,
Hohoe,2.27,3.2,11,10.788,3.055,5.61,0,0,0,,,,
Jasikan,2.262,3.245,16.840200000000003,12.68,10.632,8.876,0,0,0,,,,
Kadjebi,2.26,3.32,15.141,12.434,8.06,7.652,0,0,0,,,,
Nkwanta,1.1,3.1239999999999997,18.5742,18.427500000000002,5.4,6.8462,1.11,1.26,1.122,,,,
Krachi West,1.15,2.394,16.674,15.4,3.476,5.663,1.23,1.143,0,,,,
Krachi East,1.22,2.8,16.5795,15.642000000000001,4.488,6.122,1.2320000000000002,1.121,0,,,,
